Material,Season,Recommendation,count
Acrylic,Spring,0,1
Acrylic,Summer,0,1
Acrylic,Winter,0,1
Cashmere,Winter,1,3
Cashmere,Autumn,0,1
Chiffonfabric,Summer,0,7
Chiffonfabric,Spring,1,6
Chiffonfabric,Spring,0,4
Chiffonfabric,Winter,0,4
Chiffonfabric,Autumn,0,1
Chiffonfabric,Autumn,1,1
Chiffonfabric,Summer,1,1
Cotton,Summer,0,65
Cotton,Summer,1,46
Cotton,Spring,1,38
Cotton,Winter,1,29
Cotton,Winter,0,28
Cotton,Autumn,0,24
Cotton,Spring,0,23
Cotton,Autumn,1,14
Lace,Autumn,0,1
Linen,Autumn,0,2
Linen,Summer,0,1
Lycra,Winter,0,2
Lycra,Spring,1,1
Microfiber,Spring,1,1
Microfiber,Summer,0,1
Microfiber,Winter,0,1
Milksilk,Summer,0,2
Milksilk,Winter,0,2
Milksilk,Autumn,1,1
Mix,Winter,0,4
Mix,Spring,0,2
Mix,Spring,1,2
Mix,Summer,0,2
Mix,Summer,1,1
Mix,Winter,1,1
Modal,Summer,0,1
Model,Summer,1,1
Nylon,Summer,1,3
Nylon,Spring,0,2
Nylon,Winter,0,2
Nylon,Autumn,0,1
Nylon,Spring,1,1
Nylon,Winter,1,1
Other,Winter,0,2
Polyster,Winter,0,32
Polyster,Winter,1,18
Polyster,Summer,0,13
Polyster,Autumn,0,11
Polyster,Spring,1,8
Polyster,Spring,0,6
Polyster,Autumn,1,4
Polyster,Summer,1,1
Rayon,Spring,1,4
Rayon,Autumn,1,2
Rayon,Summer,0,2
Rayon,Autumn,0,1
Rayon,Summer,1,1
Shiffon,Spring,0,1
Shiffon,Spring,1,1
Silk,Spring,1,7
Silk,Spring,0,6
Silk,Winter,1,5
Silk,Summer,0,4
Silk,Autumn,0,2
Silk,Winter,0,2
Sill,Summer,0,1
Spandex,Spring,0,2
Spandex,Spring,1,2
Spandex,Summer,0,1
Viscos,Summer,0,1
Viscos,Winter,1,1
Wool,Winter,0,1
